@relation sentiment

@attribute tweet string
@attribute sentiwordnetpositive numeric
@attribute sentiwordnetnegative numeric
@attribute sentiwordnetneutral numeric
@attribute sentiwordnettotal numeric
@attribute sentiment {positive,negative,neutral}

@data
'i saw a jeep today and fell in love',0.2727272727272727,0.0,0.2727272727272727,0.7068120459893943,positive
'i bet the moment danny from the script appeared on the voice  must have crashed',0.1875,0.0,0.125,0.06590406631439162,neutral
'get quality get performance save money experience   ultrabook available now cheekyspecialcharacter exclamationmarkcharacter',0.5384615384615384,0.0,0.15384615384615385,0.7504481414758203,positive
'everyone needs in their lives now go go go exclamationmarkcharacter',0.2857142857142857,0.0,0.0,0.023067840056166525,positive
'why is todd hoeing sounds amazing questionmarkcharacter',0.125,0.0,0.125,0.27272727272727276,positive
'the new maschine looks incredibly tasty',0.3333333333333333,0.16666666666666666,0.0,0.27830209458778565,positive
'payleven adds customer loyalty schemes to its mobile payments',0.2222222222222222,0.0,0.1111111111111111,0.09947546415228026,neutral
'i want one they got em in black too one says love  i thought about u',0.17647058823529413,0.11764705882352941,0.11764705882352941,-0.02852683637009878,positive
'going hard cause i need to not cause i want too',0.09090909090909091,0.5454545454545454,0.0,-0.7814933203348622,neutral
'rhinestone encrusted sandals from  design shoelove zappos',0.25,0.0,0.0,0.13780314320552772,neutral
'reasons why is the most successful social media management tool via',0.16666666666666666,0.16666666666666666,0.16666666666666666,0.6233903228348365,positive
'a lot people are posting about specific situations in which node may not performance well which is kind of irrelevant to most',0.09090909090909091,0.13636363636363635,0.22727272727272727,-0.9558114180677836,negative
'can also fuck off',0.0,0.0,0.2,0.0,negative
'oh i see thanks for the fast answer youre doing a great job exclamationmarkcharacter',0.21428571428571427,0.07142857142857142,0.14285714285714285,0.14226014905761314,positive
'my  won t open and keeps freezing damnit i know this is you',0.06666666666666667,0.06666666666666667,0.2,-0.1152210481357106,negative
'the walt disney company clearly has a monopoly on the animated feature film industry owning',0.2,0.05,0.3,0.3568491484184915,positive
'no queue and yummy doughnuts krispykreme stillthinkitsoverpriced indulgence krispy kreme doughnuts',0.09090909090909091,0.09090909090909091,0.09090909090909091,0.26434282508065643,positive
'donated usd to typhoon yolanda victims via sagip kapamilya thank you for your help tp the',0.1111111111111111,0.0,0.1111111111111111,0.19593010440254097,positive
'fishing and a cold  couldn t think of a better way to end my monday',0.23529411764705882,0.058823529411764705,0.23529411764705882,0.3034692933287132,positive
'i m one hundred and ten million percent in love with',0.15384615384615385,0.0,0.15384615384615385,0.33181204598939423,positive
'want to make money online questionmarkcharacter questionmarkcharacter',0.2857142857142857,0.0,0.14285714285714285,0.06212492140184224,neutral
'no give them a raise my love for skittles has come back',0.16666666666666666,0.08333333333333333,0.25,0.24447547128896302,positive
'here is your  birdy lol d exclamationmarkcharacter',0.0,0.125,0.125,-0.05474452554744526,neutral
'damn im takin down the studio and it s bummin me the fuck out',0.0,0.14285714285714285,0.2857142857142857,-0.32090451160753397,negative
'okay here is a very good question and i d like honest answers here indie community  shield or game stick happyspecialcharacter questionmarkcharacter',0.17391304347826086,0.2608695652173913,0.13043478260869565,0.5646846884390772,positive
'oh that looks useful exclamationmarkcharacter',0.0,0.0,0.2,0.0,positive
'never using again never had so many issues with a camera were obviously not meant for each other studentproblems exclamationmarkcharacter exclamationmarkcharacter',0.047619047619047616,0.19047619047619047,0.19047619047619047,-1.3148530762167125,negative
'should one stick to a smartphone or dive into the unknown and give those phablets a try well perhaps we can questionmarkcharacter',0.09090909090909091,0.18181818181818182,0.045454545454545456,-0.017211217033342385,neutral
'all we can do is see and i like to watch',0.09090909090909091,0.09090909090909091,0.09090909090909091,-8.329767984278508E-4,neutral
'just have to go into school tomorrow for  s assignment in my hair and parents evening fml',0.16666666666666666,0.05555555555555555,0.2777777777777778,0.06173334373422803,negative
'has been brilliant so far this season his work rate and positional sense is superb oncourse ynwa backtowinningways',0.3,0.0,0.2,1.2702778773432604,positive
'free training course starting in neath ymca on worth a rt questionmarkcharacter',0.14285714285714285,0.07142857142857142,0.14285714285714285,0.40026910139649274,neutral
'my dinner were  half a caprisun i m still hungry',0.0,0.18181818181818182,0.2727272727272727,-0.216991341991342,neutral
'i pretty much hate i always have problems with this laptop',0.16666666666666666,0.25,0.08333333333333333,-0.23300917101374147,negative
'massive  in the bag time to start gaming i guess questionmarkcharacter',0.16666666666666666,0.16666666666666666,0.16666666666666666,-0.015882274160920987,neutral
'how to download free ebooks to your iphone android phone   ipad etc',0.0,0.15384615384615385,0.15384615384615385,-0.06942786830047701,neutral
'game employee looked late',0.2,0.4,0.2,-2.496907436809817E-4,negative
'boom joins   as product engineer via',0.14285714285714285,0.0,0.2857142857142857,0.033139290223032684,neutral
'never drinking  again worst hangover ever thanks lol',0.1,0.3,0.3,-1.2413459411634595,negative
'party time before the show cheers trader vic s los angeles on yelp exclamationmarkcharacter exclamationmarkcharacter exclamationmarkcharacter',0.125,0.0625,0.1875,-0.03654433793408199,positive
